team,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,team_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,date,won
LAL,240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,,DEN,240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,,2023-10-24,0.0
DEN,240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,,LAL,240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,,2023-10-24,1.0
PHO,240,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,,GSW,240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,,2023-10-24,1.0
GSW,240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,,PHO,240,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,,2023-10-24,0.0
HOU,240,32,79,0.405,12,34,0.353,10,16,0.625,7,24,31,19,6,3,18,24,86,,ORL,240,42,87,0.483,9,34,0.265,23,26,0.885,17,40,57,19,8,6,14,20,116,,2023-10-25,0.0
ORL,240,42,87,0.483,9,34,0.265,23,26,0.885,17,40,57,19,8,6,14,20,116,,HOU,240,32,79,0.405,12,34,0.353,10,16,0.625,7,24,31,19,6,3,18,24,86,,2023-10-25,1.0
BOS,240,37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,6,11,13,22,108,,NYK,240,36,97,0.371,18,41,0.439,14,26,0.538,17,30,47,24,9,0,9,22,104,,2023-10-25,1.0
NYK,240,36,97,0.371,18,41,0.439,14,26,0.538,17,30,47,24,9,0,9,22,104,,BOS,240,37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,6,11,13,22,108,,2023-10-25,0.0
WAS,240,44,96,0.458,9,24,0.375,23,29,0.793,11,34,45,28,6,9,14,11,120,,IND,240,56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,143,,2023-10-25,0.0
IND,240,56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,143,,WAS,240,44,96,0.458,9,24,0.375,23,29,0.793,11,34,45,28,6,9,14,11,120,,2023-10-25,1.0
ATL,240,39,93,0.419,5,29,0.172,27,33,0.818,12,30,42,24,12,1,12,19,110,,CHO,240,43,86,0.5,11,37,0.297,19,26,0.731,12,39,51,34,5,3,19,21,116,,2023-10-25,0.0
CHO,240,43,86,0.5,11,37,0.297,19,26,0.731,12,39,51,34,5,3,19,21,116,,ATL,240,39,93,0.419,5,29,0.172,27,33,0.818,12,30,42,24,12,1,12,19,110,,2023-10-25,1.0
DET,240,41,92,0.446,11,32,0.344,9,15,0.6,17,39,56,28,3,13,16,23,102,,MIA,240,37,92,0.402,8,22,0.364,21,26,0.808,16,32,48,22,11,3,7,18,103,,2023-10-25,0.0
MIA,240,37,92,0.402,8,22,0.364,21,26,0.808,16,32,48,22,11,3,7,18,103,,DET,240,41,92,0.446,11,32,0.344,9,15,0.6,17,39,56,28,3,13,16,23,102,,2023-10-25,1.0
MIN,240,34,100,0.34,8,31,0.258,18,22,0.818,16,46,62,20,8,9,14,14,94,,TOR,240,36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,9,11,14,18,97,,2023-10-25,0.0
