DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2022-10-18,Philadelphia 76ers,117,Boston Celtics,126
2022-10-18,Los Angeles Lakers,109,Golden State Warriors,123
2022-10-19,Orlando Magic,109,Detroit Pistons,113
2022-10-19,Washington Wizards,114,Indiana Pacers,107
2022-10-19,Houston Rockets,107,Atlanta Hawks,117
2022-10-19,New Orleans Pelicans,130,Brooklyn Nets,108
2022-10-19,New York Knicks,112,Memphis Grizzlies,115
2022-10-19,Chicago Bulls,116,Miami Heat,108
2022-10-19,Cleveland Cavaliers,105,Toronto Raptors,108
2022-10-19,Oklahoma City Thunder,108,Minnesota Timberwolves,115
2022-10-19,Charlotte Hornets,129,San Antonio Spurs,102
2022-10-19,Denver Nuggets,102,Utah Jazz,123
2022-10-19,Dallas Mavericks,105,Phoenix Suns,107
2022-10-19,Portland Trail Blazers,115,Sacramento Kings,108
2022-10-20,Milwaukee Bucks,90,Philadelphia 76ers,88
2022-10-20,Los Angeles Clippers,103,Los Angeles Lakers,97
2022-10-21,New Orleans Pelicans,124,Charlotte Hornets,112
2022-10-21,San Antonio Spurs,137,Indiana Pacers,134
2022-10-21,Chicago Bulls,100,Washington Wizards,102
2022-10-21,Orlando Magic,98,Atlanta Hawks,108
2022-10-21,Toronto Raptors,105,Brooklyn Nets,109
2022-10-21,Boston Celtics,111,Miami Heat,104
2022-10-21,Detroit Pistons,106,New York Knicks,130
2022-10-21,Memphis Grizzlies,129,Houston Rockets,122
2022-10-21,Utah Jazz,132,Minnesota Timberwolves,126
2022-10-21,Denver Nuggets,128,Golden State Warriors,123
2022-10-21,Phoenix Suns,111,Portland Trail Blazers,113
2022-10-22,San Antonio Spurs,114,Philadelphia 76ers,105
2022-10-22,Detroit Pistons,115,Indiana Pacers,124
2022-10-22,Boston Celtics,126,Orlando Magic,120
2022-10-22,Cleveland Cavaliers,128,Chicago Bulls,96
2022-10-22,Toronto Raptors,109,Miami Heat,112
2022-10-22,Houston Rockets,105,Milwaukee Bucks,125
2022-10-22,Memphis Grizzlies,96,Dallas Mavericks,137
2022-10-22,Oklahoma City Thunder,117,Denver Nuggets,122
2022-10-22,Los Angeles Clippers,111,Sacramento Kings,109
2022-10-23,Portland Trail Blazers,106,Los Angeles Lakers,104
2022-10-23,Charlotte Hornets,126,Atlanta Hawks,109
2022-10-23,Washington Wizards,107,Cleveland Cavaliers,117
2022-10-23,Utah Jazz,122,New Orleans Pelicans,121
2022-10-23,Minnesota Timberwolves,116,Oklahoma City Thunder,106
2022-10-23,Sacramento Kings,125,Golden State Warriors,130
2022-10-23,Phoenix Suns,112,Los Angeles Clippers,95
2022-10-24,Indiana Pacers,106,Philadelphia 76ers,120
2022-10-24,Toronto Raptors,98,Miami Heat,90
2022-10-24,Orlando Magic,102,New York Knicks,115
2022-10-24,Boston Celtics,102,Chicago Bulls,120
2022-10-24,Utah Jazz,108,Houston Rockets,114
2022-10-24,Brooklyn Nets,124,Memphis Grizzlies,134
2022-10-24,San Antonio Spurs,115,Minnesota Timberwolves,106
2022-10-24,Denver Nuggets,110,Portland Trail Blazers,135
2022-10-25,Detroit Pistons,99,Washington Wizards,120
2022-10-25,Dallas Mavericks,111,New Orleans Pelicans,113
2022-10-25,Los Angeles Clippers,94,Oklahoma City Thunder,108
2022-10-25,Golden State Warriors,105,Phoenix Suns,134
2022-10-26,Orlando Magic,92,Cleveland Cavaliers,103
2022-10-26,Atlanta Hawks,118,Detroit Pistons,113
2022-10-26,Brooklyn Nets,99,Milwaukee Bucks,110
2022-10-26,Charlotte Hornets,131,New York Knicks,134
2022-10-26,Philadelphia 76ers,109,Toronto Raptors,119
2022-10-26,Indiana Pacers,109,Chicago Bulls,124
2022-10-26,San Antonio Spurs,122,Minnesota Timberwolves,134
2022-10-26,Houston Rockets,101,Utah Jazz,109
2022-10-26,Los Angeles Lakers,99,Denver Nuggets,110
2022-10-26,Miami Heat,119,Portland Trail Blazers,98
2022-10-27,Dallas Mavericks,129,Brooklyn Nets,125
2022-10-27,Los Angeles Clippers,110,Oklahoma City Thunder,118
2022-10-27,Miami Heat,110,Golden State Warriors,123
2022-10-27,Memphis Grizzlies,125,Sacramento Kings,110
2022-10-28,Atlanta Hawks,136,Detroit Pistons,112
2022-10-28,Charlotte Hornets,93,Orlando Magic,113
2022-10-28,Cleveland Cavaliers,132,Boston Celtics,123
2022-10-28,Philadelphia 76ers,112,Toronto Raptors,90
2022-10-28,Indiana Pacers,127,Washington Wizards,117
2022-10-28,New York Knicks,108,Milwaukee Bucks,119
2022-10-28,Los Angeles Lakers,102,Minnesota Timberwolves,111
2022-10-28,Chicago Bulls,124,San Antonio Spurs,129
2022-10-28,Utah Jazz,101,Denver Nuggets,117
2022-10-28,New Orleans Pelicans,111,Phoenix Suns,124
2022-10-28,Houston Rockets,111,Portland Trail Blazers,125
2022-10-29,Miami Heat,113,Sacramento Kings,119
2022-10-29,Golden State Warriors,113,Charlotte Hornets,120
2022-10-29,Indiana Pacers,125,Brooklyn Nets,116
2022-10-29,Philadelphia 76ers,114,Chicago Bulls,109
2022-10-29,Atlanta Hawks,115,Milwaukee Bucks,123
2022-10-29,Oklahoma City Thunder,117,Dallas Mavericks,111
2022-10-29,Memphis Grizzlies,123,Utah Jazz,124
2022-10-30,New Orleans Pelicans,112,Los Angeles Clippers,91
