Unnamed: 0,Date,Away,Home,Favorite,Line,Over/Under
0,2023-10-24,LAL,DEN,DEN,-4.5,228.5
1,2023-10-24,PHX,GSW,GSW,-3.5,235.5
2,2023-10-25,ATL,CHA,ATL,-4.5,235.5
3,2023-10-25,WAS,IND,IND,-4.5,235.5
4,2023-10-25,BOS,NYK,BOS,-4.5,223.5
5,2023-10-25,HOU,ORL,ORL,-4.5,219.5
6,2023-10-25,CLE,BKN,CLE,-1.5,218.5
7,2023-10-25,DET,MIA,MIA,-9.5,218.5
8,2023-10-25,MIN,TOR,TOR,-0.5,220.5
9,2023-10-25,OKC,CHI,CHI,-2.5,224.5
10,2023-10-25,NOP,MEM,MEM,-1.5,224.5
11,2023-10-25,SAC,UTA,SAC,-1.5,234.5
12,2023-10-25,DAL,SAS,DAL,-4.5,231.5
13,2023-10-25,POR,LAC,LAC,-10.5,225.5
14,2023-10-26,PHI,MIL,MIL,-5.5,227.5
15,2023-10-26,PHX,LAL,LAL,-6.5,226.5
16,2023-10-27,DET,CHA,CHA,-4.5,226.5
17,2023-10-27,DEN,MEM,DEN,-5.5,221.5
18,2023-10-27,NYK,ATL,ATL,-0.5,229.5
19,2023-10-27,MIA,BOS,BOS,-8.5,220.5
20,2023-10-27,OKC,CLE,CLE,-2.5,226.5
21,2023-10-27,TOR,CHI,CHI,-2.5,216.5
22,2023-10-27,HOU,SAS,SAS,-2.5,224.5
23,2023-10-27,BKN,DAL,DAL,-6.5,231.5
24,2023-10-27,LAC,UTA,LAC,-4.5,227.5
25,2023-10-27,ORL,POR,ORL,-4.5,220.5
26,2023-10-27,GSW,SAC,SAC,-3.5,237.5
27,2023-10-28,CHI,DET,CHI,-2.5,214.5
28,2023-10-28,MEM,WAS,WAS,-0.5,228.5
29,2023-10-28,NYK,NOP,NOP,-3.5,223.5
30,2023-10-28,IND,CLE,IND,-3.5,221.5
31,2023-10-28,PHI,TOR,PHI,-4.5,214.5
32,2023-10-28,MIA,MIN,MIN,-8.5,215.5
33,2023-10-28,UTA,PHX,PHX,-5.5,222.5
34,2023-10-29,DEN,OKC,DEN,-3.5,230.5
35,2023-10-29,GSW,HOU,GSW,-7.5,223.5
36,2023-10-29,ATL,MIL,MIL,-6.5,238.5
37,2023-10-29,POR,PHI,PHI,-9.5,216.5
38,2023-10-29,SAS,LAC,LAC,-9.5,229.5
39,2023-10-29,LAL,SAC,SAC,-2.5,235.5
40,2023-10-30,BKN,CHA,BKN,-1.5,227.5
41,2023-10-30,CHI,IND,IND,-3.5,229.5
42,2023-10-30,BOS,WAS,BOS,-10.5,231.5
43,2023-10-30,MIN,ATL,MIN,-2.5,229.5
44,2023-10-30,POR,TOR,TOR,-9.5,216.5
45,2023-10-30,DAL,MEM,MEM,-1.5,222.5
46,2023-10-30,MIA,MIL,MIL,-7.5,225.5
47,2023-10-30,GSW,NOP,NOP,-2.5,220.5
48,2023-10-30,DET,OKC,OKC,-6.5,225.5
49,2023-10-30,UTA,DEN,DEN,-9.5,226.5
50,2023-10-30,ORL,LAL,LAL,-3.5,220.5
51,2023-10-31,NYK,CLE,NYK,-1.5,213.5
52,2023-10-31,SAS,PHX,PHX,-7.5,225.5
53,2023-10-31,ORL,LAC,LAC,-6.5,220.5
54,2023-11-01,POR,DET,DET,-3.5,216.5
55,2023-11-01,MIL,TOR,MIL,-4.5,223.5
56,2023-11-01,WAS,ATL,ATL,-10.5,240.5
